2022-05-20 13:05:240 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 13:05:333 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (eb6a355618745d7540982d87708c92b0)] -> xpath: //button[@id='save']]
2022-05-20 13:05:776 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (eb6a355618745d7540982d87708c92b0)] -> id: keywords]
2022-05-20 13:05:951 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (eb6a355618745d7540982d87708c92b0)] -> id: location]
2022-05-20 13:05:114 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (eb6a355618745d7540982d87708c92b0)] -> id: distance]
2022-05-20 13:05:586 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (eb6a355618745d7540982d87708c92b0)] -> id: toggle-hp-search]
2022-05-20 13:05:208 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (eb6a355618745d7540982d87708c92b0)] -> id: salarymin]
2022-05-20 13:05:333 INFO  HomePage :101 - Entering maximum salary: 50000
2022-05-20 13:05:397 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (eb6a355618745d7540982d87708c92b0)] -> id: salarytype]
2022-05-20 13:05:564 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (eb6a355618745d7540982d87708c92b0)] -> id: tempperm]
2022-05-20 13:05:781 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (eb6a355618745d7540982d87708c92b0)] -> id: hp-search-btn]
2022-05-20 13:05:951 INFO  ResultPage :32 - Verifying Search result: Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='search-header__title']'
2022-05-20 13:05:577 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 13:05:972 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (04f42ef2fe2dc7a6dc47fcfb21299ecb)] -> xpath: //button[@id='save']]
2022-05-20 13:05:282 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (04f42ef2fe2dc7a6dc47fcfb21299ecb)] -> id: keywords]
2022-05-20 13:05:859 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (04f42ef2fe2dc7a6dc47fcfb21299ecb)] -> id: location]
